fractal_dimension_simulation_data_with_different_initial_condition (including mass ratio and shoving capacity)(2)
initial_condition,           mass_ratio_of_matrix_tomotile,           shoving_capacity,           number_of_cells_and_spore,ratio_of_cell_to_spore,           fractal_dimension,inner_motile_radius_when_frozen,           outer_biofilm_radius_when_frozen,motile_radius_growth,biofilm_radius_growth,inner_motile_radius_when_frozen/outer_biofilm_radius_when_frozen
1E+00,1E+00,1E+00,1.77E+02,1.2125E+00,1.01821820754513E+00,5.55662298161641E+00,7.50605421340207E+00,0E+00,0E+00,7.40285484708471E-01
1E+00,1E+00,1E+00,1.77E+02,1.2125E+00,1.01821820754513E+00,5.55662298161641E+00,7.50605421340207E+00,0E+00,0E+00,7.40285484708471E-01
1E+00,1E+00,1E+00,1.77E+02,1.2125E+00,1.01821820754513E+00,5.55662298161641E+00,7.50605421340207E+00,0E+00,0E+00,7.40285484708471E-01
1E+00,1E+00,1E+00,1.77E+02,1.2125E+00,1.01821820754513E+00,5.55662298161641E+00,7.50605421340207E+00,0E+00,0E+00,7.40285484708471E-01
1E+00,1E+00,1E+00,1.77E+02,1.2125E+00,1.01821820754513E+00,5.55662298161641E+00,7.50605421340207E+00,0E+00,0E+00,7.40285484708471E-01
1E+00,1E+00,2E+00,1.77E+02,1.2125E+00,9.71094183792187E-01,5.69803548521301E+00,8.46284375321634E+00,1.41412503596594E-01,9.56789539814275E-01,6.73300329224139E-01
1E+00,1E+00,2E+00,1.77E+02,1.2125E+00,1.01821820754513E+00,5.58519192562006E+00,7.81764019044672E+00,2.85689440036423E-02,3.1158597704465E-01,7.14434508311760E-01
1E+00,1E+00,2E+00,1.77E+02,1.2125E+00,1.03262503792577E+00,5.61361547776433E+00,8.13685789025644E+00,5.69924961479176E-02,6.30803676854369E-01,6.89899658255849E-01
1E+00,1E+00,2E+00,1.77E+02,1.2125E+00,1.01821820754513E+00,5.55662298161641E+00,7.50605421340207E+00,0E+00,0E+00,7.40285484708471E-01
1E+00,1E+00,2E+00,1.77E+02,1.2125E+00,1.01821820754513E+00,5.61361547776433E+00,7.63221522047392E+00,5.69924961479176E-02,1.26161007071846E-01,7.35515877841788E-01
1E+00,1E+00,3E+00,1.77E+02,1.2125E+00,9.59790231159661E-01,5.80868728160518E+00,8.46284375321634E+00,2.52064299988768E-01,9.56789539814275E-01,6.86375342732467E-01
1E+00,1E+00,3E+00,1.77E+02,1.2125E+00,9.92292810096051E-01,5.8360224315595E+00,8.88486644658096E+00,2.7939944994308E-01,1.37881223317889E+00,6.56849764332168E-01
1E+00,1E+00,3E+00,1.77E+02,1.2125E+00,1.02773489562782E+00,5.69803548521301E+00,8.46284375321634E+00,1.41412503596594E-01,9.56789539814275E-01,6.73300329224139E-01
1E+00,1E+00,3E+00,1.77E+02,1.2125E+00,9.81486103904851E-01,5.72589890558072E+00,1.04336945074531E+01,1.69275923964301E-01,2.927640294051E+00,5.48789204197088E-01
1E+00,1E+00,3E+00,1.77E+02,1.2125E+00,9.95899189402463E-01,5.78122288528111E+00,9.67383618519739E+00,2.24599903664693E-01,2.16778197179532E+00,5.97614304667197E-01
1E+00,1E+00,4E+00,1.77E+02,1.2125E+00,1.2773276052254E+00,6.50655168752575E+00,1.51807890966532E+01,9.49928705909334E-01,7.67473488325112E+00,4.28604313392392E-01
1E+00,1E+00,4E+00,1.77E+02,1.2125E+00,1.06345398886431E+00,6.18038723237103E+00,9.72306722164286E+00,6.23764250754618E-01,2.21701300824079E+00,6.35641726163728E-01
1E+00,1E+00,4E+00,1.77E+02,1.2125E+00,1.12958624338739E+00,6.20608541902532E+00,1.1672044863119E+01,6.49462437408904E-01,4.16599064971692E+00,5.31705068975115E-01
1E+00,1E+00,4E+00,1.77E+02,1.2125E+00,1.27314151287756E+00,6.45744493511765E+00,1.12130461981835E+01,9.00821953501234E-01,3.70699198478143E+00,5.75886768054496E-01
1E+00,1E+00,4E+00,1.77E+02,1.2125E+00,1.06895494405731E+00,6.0765077797465E+00,1.16310662292032E+01,5.19884798130084E-01,4.12501201580113E+00,5.22437724968812E-01
1E+00,1E+00,5E+00,1.77E+02,1.2125E+00,1.09460696651349E+00,6.55529058355247E+00,1.24121708380506E+01,9.98667601936059E-01,4.90611662464857E+00,5.28134092664649E-01
1E+00,1E+00,5E+00,1.77E+02,1.2125E+00,1.29625094593482E+00,6.65169709018284E+00,1.33033941803657E+01,1.09507410856643E+00,5.79733996696362E+00,4.99999999999999E-01
1E+00,1E+00,5E+00,1.77E+02,1.2125E+00,1.1627603454356E+00,6.65169709018284E+00,1.2463355264843E+01,1.09507410856643E+00,4.95730105144094E+00,5.33700351858391E-01
1E+00,1E+00,5E+00,1.77E+02,1.2125E+00,1.08605561172613E+00,6.8636625175777E+00,1.95522421554852E+01,1.30703953596128E+00,1.20461879420831E+01,3.51042221295943E-01
1E+00,1E+00,5E+00,1.77E+02,1.2125E+00,1.18342553471537E+00,7.31273279143145E+00,1.33749824685975E+01,1.75610980981504E+00,5.86892825519543E+00,5.46747093583164E-01
1E+00,1E+00,6E+00,1.77E+02,1.2125E+00,1.23679954366138E+00,7.95887349758585E+00,1.7444318593505E+01,2.40225051596943E+00,9.93826438010292E+00,4.56244447435692E-01
1E+00,1E+00,6E+00,1.77E+02,1.2125E+00,1.12368287743853E+00,8.03846421247924E+00,2.09359192125658E+01,2.48184123086283E+00,1.34298649991637E+01,3.83955637718287E-01
1E+00,1E+00,6E+00,1.77E+02,1.2125E+00,1.14053285546273E+00,7.8784787748549E+00,1.68691742017299E+01,2.32185579323849E+00,9.36311998832781E+00,4.67034051616289E-01
1E+00,1E+00,6E+00,1.77E+02,1.2125E+00,1.1308340140489E+00,8.01864059608146E+00,1.85583214987472E+01,2.46201761446505E+00,1.10522672853451E+01,4.32077900828627E-01
1E+00,1E+00,6E+00,1.77E+02,1.2125E+00,1.19781901306899E+00,7.63221522047392E+00,1.64100628795714E+01,2.0755922388575E+00,8.90400866616932E+00,4.65093599974875E-01
1E+00,1E+00,8E+00,1.77E+02,1.2125E+00,1.14695738905638E+00,9.8854000960216E+00,2.92073705590311E+01,4.32877711440518E+00,2.17013163456291E+01,3.38455667415941E-01
1E+00,1E+00,8E+00,1.77E+02,1.2125E+00,1.3001750716435E+00,9.11476166961975E+00,1.8566895452311E+01,3.55813868800333E+00,1.10608412389089E+01,4.90914687004673E-01
1E+00,1E+00,8E+00,1.77E+02,1.2125E+00,1.20328906317704E+00,9.16699568847508E+00,2.20683965403289E+01,3.61037270685867E+00,1.45623423269268E+01,4.15390201627148E-01
1E+00,1E+00,8E+00,1.77E+02,1.2125E+00,1.25272219757882E+00,8.75857765680556E+00,2.042023386009E+01,3.20195467518914E+00,1.29141796466879E+01,4.28916618527255E-01
1E+00,1E+00,8E+00,1.77E+02,1.2125E+00,1.18646379593862E+00,9.82078894558317E+00,2.88785716717696E+01,4.26416596396675E+00,2.13725174583675E+01,3.40071837942856E-01
